ID,Name,Age,Nationality,Overall,Potential,Club,Value,Wage,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Position,Jersey Number,Joined,Contract Valid Until,Height,Weight,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Feet,Inches
188567,P. Aubameyang,29,Gabon,88,88,Arsenal,59,$265 ,Right,3,4,4,Medium/ Low,LM,14,31-Jan-18,2021,74,176,77,88,79,77,86,79,80,74,64,82,93,95,76,87,70,82,79,76,76,79,43,48,90,77,76,86,27,25,36,6,9,15,9,9,6,2
178603,M. Hummels,29,Germany,88,88,FC Bayern München,46,$160 ,Right,4,3,3,High/ Medium,LCB,5,1-Jul-16,2021,75,203,64,55,87,81,60,68,65,53,85,81,53,64,63,87,60,71,68,66,84,51,69,92,56,79,68,91,88,90,88,15,6,10,5,6,6,3
176676,Marcelo,30,Brazil,88,88,Real Madrid,43,$285 ,Left,4,4,5,High/ Low,LB,12,1-Jan-07,2022,69,176,90,70,75,84,54,90,85,67,76,92,83,82,86,88,86,83,76,91,78,70,84,85,85,82,59,86,71,85,86,12,5,5,5,9,5,9
173731,G. Bale,28,Wales,88,88,Real Madrid,60,$355 ,Left,4,3,4,High/ Medium,ST,11,2-Sep-13,2022,73,181,87,86,84,85,85,87,90,87,80,85,94,95,82,85,65,92,87,75,80,91,65,59,85,79,76,86,54,55,52,15,15,11,5,6,6,1
167948,H. Lloris,31,France,88,88,Tottenham Hotspur,36,$150 ,Left,4,1,1,Medium/ Medium,GK,1,1-Aug-12,2022,74,181,13,10,10,50,11,10,11,10,50,34,65,62,55,85,54,23,74,41,43,14,31,27,10,30,40,65,29,10,18,88,84,68,83,92,6,2
167664,G. Higuaín,30,Argentina,88,88,Milan,57,$245 ,Right,4,4,3,High/ Medium,LS,9,,30-Jun-19,73,196,68,92,80,75,90,84,74,62,59,85,73,73,75,86,69,86,79,70,85,80,50,20,92,74,70,86,35,22,18,5,12,7,5,10,6,1
164240,Thiago Silva,33,Brazil,88,88,Paris Saint-Germain,24,$165 ,Right,4,3,2,Medium/ High,RCB,2,1-Jul-12,2020,72,181,60,38,81,80,63,62,61,64,80,80,70,72,68,82,68,71,90,74,82,68,76,89,59,72,60,81,88,89,85,9,12,5,9,10,6,0
162835,S. Handanovi?,33,Slovenia,88,88,Inter,30,$110 ,Right,3,2,1,Medium/ Medium,GK,1,1-Jul-12,2021,76,203,12,10,10,36,12,12,12,14,34,16,51,55,47,83,36,22,78,41,71,19,25,22,12,41,23,69,25,10,13,87,86,69,89,89,6,4
1179,G. Buffon,40,Italy,88,88,Paris Saint-Germain,4,$77 ,Right,4,2,1,Medium/ Medium,GK,1,6-Jul-18,2019,76,203,13,15,13,37,17,26,20,13,35,28,49,43,55,79,49,39,75,39,69,13,38,28,12,50,22,70,13,11,11,88,87,74,90,83,6,4
205600,S. Umtiti,24,France,87,92,FC Barcelona,57,$205 ,Left,3,3,2,Medium/ High,CB,23,12-Jul-16,2023,72,165,69,51,79,81,70,69,72,62,73,77,71,73,68,82,66,83,89,78,84,74,81,87,58,58,61,82,90,89,86,15,10,14,12,15,6,0
201399,M. Icardi,25,Argentina,87,90,Inter,64.5,$130 ,Right,3,4,3,Medium/ Low,ST,9,9-Jul-13,2021,71,165,46,91,91,73,85,77,58,45,54,81,77,78,76,88,76,84,94,72,76,70,56,22,92,64,82,85,45,24,20,13,9,5,7,9,5,11
201024,K. Koulibaly,27,Senegal,87,90,Napoli,51,$115 ,Right,3,3,2,High/ High,LCB,26,1-Jul-14,2021,74,196,30,19,81,66,14,66,28,28,56,60,68,75,50,80,40,55,81,71,94,15,87,88,24,43,33,78,91,88,86,7,11,7,13,5,6,2
195864,P. Pogba,25,France,87,91,Manchester United,64,$210 ,Right,4,4,5,High/ Low,RDM,6,9-Aug-16,2021,76,185,80,73,73,86,85,87,84,82,90,90,71,79,74,81,64,90,83,88,89,81,78,66,81,87,81,87,66,70,68,5,6,2,4,3,6,4
193041,K. Navas,31,Costa Rica,87,87,Real Madrid,30.5,$195 ,Right,3,3,1,Medium/ Medium,GK,1,3-Aug-14,2020,73,176,11,15,11,30,11,16,11,15,37,19,54,53,60,84,61,21,74,39,75,13,32,20,16,68,25,67,28,14,14,90,81,75,82,90,6,1
192505,R. Lukaku,25,Belgium,87,89,Manchester United,62.5,$230 ,Left,3,3,3,Medium/ Medium,ST,9,10-Jul-17,2022,75,207,78,87,86,77,79,80,74,66,73,72,77,90,60,86,46,88,71,84,94,74,75,27,89,76,78,83,30,30,30,8,15,14,7,10,6,3
192387,C. Immobile,28,Italy,87,87,Lazio,52,$115 ,Right,3,4,3,High/ Medium,ST,17,27-Jul-16,2023,73,187,55,90,81,74,87,83,70,51,49,83,78,85,77,87,63,86,77,80,76,80,77,40,91,65,78,81,34,33,32,6,8,15,12,6,6,1
189332,Jordi Alba,29,Spain,87,87,FC Barcelona,38,$250 ,Left,3,3,3,High/ Medium,LB,18,1-Jul-12,2020,67,150,87,73,70,84,60,80,80,63,74,84,93,93,90,83,85,64,81,91,61,66,75,84,79,70,59,79,72,84,85,13,15,13,6,13,5,7
175943,D. Mertens,31,Belgium,87,87,Napoli,45,$135 ,Right,3,4,4,High/ Low,RF,14,1-Jul-13,2020,67,134,77,86,35,82,70,91,82,79,74,89,93,85,94,88,92,80,60,75,42,81,59,36,87,83,79,81,25,40,40,7,10,8,10,4,5,7
172871,J. Vertonghen,31,Belgium,87,87,Tottenham Hotspur,34,$155 ,Left,3,3,3,High/ High,LCB,5,1-Jul-12,2019,74,190,68,56,80,79,52,71,58,73,74,76,61,65,61,84,60,80,85,75,79,66,84,89,60,68,66,83,90,87,88,6,10,9,12,7,6,2
171877,M. Hamík,30,Slovakia,87,87,Napoli,46.5,$125 ,Right,3,5,3,High/ Medium,LCM,17,1-Jul-07,2020,72,174,78,79,74,88,79,86,80,72,83,87,69,68,76,88,66,82,71,84,67,83,56,72,88,86,70,84,75,73,62,8,6,4,14,14,6,0
168651,I. Rakiti?,30,Croatia,87,87,FC Barcelona,46.5,$260 ,Right,4,3,3,High/ High,RCM,4,1-Jul-14,2021,72,172,84,83,58,87,80,84,88,84,90,87,66,59,72,77,66,84,39,84,66,90,67,75,79,86,82,81,72,74,70,14,11,12,5,9,6,0
152729,Piqué,31,Spain,87,87,FC Barcelona,34,$240 ,Right,4,3,2,High/ Medium,RCB,3,1-Jul-08,2022,76,187,57,64,83,81,57,59,58,43,80,78,49,60,58,84,36,62,74,65,83,51,72,88,58,62,69,86,91,86,84,10,11,14,15,8,6,4
222492,L. Sané,22,Germany,86,92,Manchester City,61,$195 ,Left,2,3,4,High/ Medium,LW,19,2-Aug-16,2021,72,165,83,81,72,79,85,88,82,68,64,85,93,96,88,81,81,86,64,79,70,78,61,34,84,82,71,78,36,32,35,8,12,9,9,14,6,0
218667,Bernardo Silva,23,Portugal,86,91,Manchester City,59.5,$180 ,Left,2,3,4,High/ Medium,RW,11,1-Jul-17,2022,68,141,85,75,51,85,69,92,83,67,79,91,84,74,90,82,88,70,50,78,48,72,58,49,83,86,68,85,49,44,35,9,10,14,12,9,5,8
210257,Ederson,24,Brazil,86,90,Manchester City,41.5,$125 ,Left,2,3,1,Medium/ Medium,GK,31,1-Jul-17,2025,74,190,20,14,14,56,18,23,15,20,58,37,64,63,60,86,48,42,58,41,68,18,35,25,20,67,17,70,28,15,8,85,80,91,82,87,6,2
208722,S. Mané,26,Senegal,86,87,Liverpool,52,$195 ,Right,3,4,4,High/ Medium,LM,10,1-Jul-16,2023,69,152,73,84,62,79,71,87,74,64,71,86,95,93,91,86,86,82,75,84,67,74,73,35,87,82,71,80,42,42,38,10,10,15,7,14,5,9
203376,V. van Dijk,26,Netherlands,86,88,Liverpool,44.5,$165 ,Right,3,3,2,Medium/ Medium,LCB,4,1-Jan-18,2023,76,203,53,52,82,76,45,70,60,70,78,73,74,77,61,85,49,81,85,71,92,64,81,86,41,59,62,83,88,89,84,13,10,13,11,11,6,4
202652,R. Sterling,23,England,86,89,Manchester City,56.5,$195 ,Right,3,3,4,High/ Medium,RW,10,14-Jul-15,2023,67,152,77,77,38,84,67,88,70,63,69,87,95,92,93,87,93,73,57,78,52,73,38,30,87,77,69,77,47,58,54,15,12,12,15,9,5,7
201942,Roberto Firmino,26,Brazil,86,87,Liverpool,53,$195 ,Right,3,4,4,High/ High,CAM,9,6-Jul-15,2023,71,168,72,87,77,86,81,87,80,65,75,88,78,77,80,86,81,81,81,90,74,76,73,58,87,85,72,87,60,64,42,8,11,9,6,10,5,11
201535,R. Varane,25,France,86,91,Real Madrid,50,$210 ,Right,3,3,2,Medium/ High,RCB,4,1-Jul-11,2022,75,179,36,40,83,75,42,57,46,54,76,77,83,85,63,83,40,52,79,73,84,53,77,82,44,56,43,82,87,88,87,11,11,9,5,14,6,3
199556,M. Verratti,25,Italy,86,89,Paris Saint-Germain,55,$135 ,Right,3,4,4,Medium/ High,LCM,6,18-Jul-12,2021,65,132,72,60,55,90,64,90,73,64,89,88,69,62,87,85,94,56,64,77,52,58,89,84,71,87,64,93,78,83,80,12,12,15,15,10,5,5
191043,Alex Sandro,27,Brazil,86,86,Juventus,36.5,$160 ,Left,3,3,3,High/ High,LB,12,21-Aug-15,2020,71,176,84,55,76,81,68,80,78,59,71,81,83,86,79,84,78,80,79,92,79,72,82,82,70,70,60,82,81,84,84,7,7,9,12,5,5,11
190483,Douglas Costa,27,Brazil,86,86,Juventus,46.5,$175 ,Left,3,3,5,High/ Medium,LM,11,1-Jul-18,2022,68,154,84,67,50,84,76,92,84,78,68,91,97,93,93,84,91,86,61,78,63,80,55,48,76,84,77,84,45,38,34,13,15,9,12,5,5,8
189596,T. Müller,28,Germany,86,86,FC Bayern München,45,$135 ,Right,4,4,3,High/ High,CAM,13,10-Aug-08,2021,73,165,79,87,82,83,84,75,81,59,72,82,73,75,75,91,72,78,81,87,68,80,57,58,92,85,60,83,44,41,44,6,7,11,14,14,6,1
189509,Thiago,27,Spain,86,86,FC Bayern München,45.5,$130 ,Right,3,3,5,Medium/ Medium,CM,19,14-Jul-13,2021,69,154,72,69,54,90,90,90,85,77,87,90,78,69,90,84,86,75,75,75,59,79,57,78,79,86,75,85,67,63,65,6,11,7,9,13,5,9
188350,M. Reus,29,Germany,86,86,Borussia Dortmund,43.5,$100 ,Right,4,4,4,High/ Medium,LM,11,1-Jul-12,2023,71,157,79,87,49,86,90,87,89,84,75,86,86,85,86,87,81,88,70,73,67,86,49,50,88,86,89,84,47,36,45,12,12,13,13,11,5,11
184432,Azpilicueta,28,Spain,86,86,Chelsea,35,$175 ,Right,3,3,2,Medium/ Medium,RB,14,24-Aug-12,2022,70,168,81,46,76,81,51,69,68,58,80,77,76,76,72,88,73,68,76,87,71,60,82,89,62,74,66,78,88,90,86,13,9,10,6,5,5,10
184344,L. Bonucci,31,Italy,86,86,Juventus,30,$160 ,Right,3,3,2,Low/ High,RCB,19,2-Aug-18,2023,75,187,44,48,86,77,58,69,56,61,85,75,57,65,60,84,52,74,85,71,83,65,82,90,38,74,70,86,90,86,80,2,2,3,2,4,6,3
184087,T. Alderweireld,29,Belgium,86,87,Tottenham Hotspur,39,$150 ,Right,3,3,2,Medium/ Medium,RCB,2,8-Jul-15,2020,73,179,64,45,82,79,38,62,63,69,85,74,61,66,60,86,50,78,84,74,79,65,80,87,58,67,58,81,90,91,86,16,6,14,16,14,6,1
180206,M. Pjani?,28,Bosnia Herzegovina,86,86,Juventus,44,$180 ,Right,3,4,3,Medium/ Medium,CDM,5,1-Jul-16,2023,70,159,80,60,60,89,72,86,86,92,85,89,66,66,77,84,79,78,61,78,66,82,70,78,70,88,79,86,75,74,70,7,7,13,7,8,5,10
177509,M. Benatia,31,Morocco,86,86,Juventus,30,$160 ,Right,3,3,2,Medium/ High,CB,4,26-Aug-14,2020,74,207,45,47,83,65,44,64,34,27,65,64,65,75,59,82,53,66,85,69,91,24,86,86,38,47,41,82,89,87,85,7,4,8,7,11,6,2
176635,M. Özil,29,Germany,86,86,Arsenal,43.5,$190 ,Left,4,2,4,Medium/ Low,CAM,10,2-Sep-13,2021,71,168,83,73,54,89,80,84,84,77,82,90,72,69,79,84,70,70,48,69,57,75,48,24,83,91,67,82,24,16,19,6,14,10,6,14,5,11
135507,Fernandinho,33,Brazil,86,86,Manchester City,18,$185 ,Right,3,4,3,Medium/ High,CDM,25,1-Jul-13,2020,70,148,68,69,63,85,74,77,70,72,81,82,68,67,72,86,78,83,76,79,76,78,87,88,70,75,61,79,85,85,80,12,11,5,13,7,5,10
41,Iniesta,34,Spain,86,86,Vissel Kobe,21.5,$21 ,Right,4,4,4,High/ Medium,LF,8,16-Jul-18,2021,67,150,77,70,54,90,74,90,80,70,85,92,70,67,79,86,84,65,47,55,58,71,58,66,81,93,71,89,67,57,56,6,13,6,13,7,5,7
232363,M. kriniar,23,Slovakia,85,92,Inter,46.5,$82 ,Right,1,4,2,Medium/ High,LCB,37,7-Jul-17,2022,74,176,40,42,80,70,40,59,34,30,68,67,70,73,48,81,48,50,78,77,83,30,86,86,30,57,56,80,92,88,82,10,13,12,8,12,6,2
223848,S. Milinkovi?-Savi?,23,Serbia,85,90,Lazio,50.5,$73 ,Right,2,4,4,High/ Medium,CM,21,6-Aug-15,2023,75,168,64,80,86,85,74,86,78,75,85,87,68,70,66,80,59,83,85,85,88,80,73,78,79,85,56,82,75,77,72,7,10,7,16,7,6,3
220834,Marco Asensio,22,Spain,85,92,Real Madrid,54,$215 ,Left,3,3,4,High/ Medium,RW,10,1-Jul-15,2023,72,168,82,82,50,83,79,86,83,76,82,85,85,82,79,82,76,86,58,76,61,88,45,45,82,84,62,83,40,42,39,13,9,6,12,10,6,0
216594,N. Fekir,24,France,85,89,Olympique Lyonnais,50,$92 ,Left,3,3,4,High/ Medium,CAM,18,1-Jul-13,2020,68,165,83,82,49,83,77,90,81,79,75,89,79,79,90,80,91,84,69,80,82,82,73,28,81,81,81,89,31,37,25,15,9,8,14,15,5,8
212831,Alisson,25,Brazil,85,90,Liverpool,36.5,$115 ,Right,3,3,1,Medium/ Medium,GK,13,19-Jul-18,2024,75,201,17,13,19,45,20,27,19,18,44,30,54,45,40,84,37,21,52,32,78,14,27,11,13,66,23,65,15,19,16,83,81,85,84,88,6,3
212622,J. Kimmich,23,Germany,85,88,FC Bayern München,40.5,$92 ,Right,3,4,3,High/ Low,RCM,18,1-Jul-15,2023,69,154,90,66,74,85,61,80,81,61,80,85,78,68,84,85,83,75,79,85,65,69,74,79,80,79,44,82,75,81,79,8,15,7,15,15,5,9
208421,Saúl,23,Spain,85,90,Atlético Madrid,50.5,$77 ,Left,3,4,3,High/ High,RCM,6,1-Jul-13,2026,72,170,69,78,83,85,76,83,72,60,83,85,74,73,76,82,69,78,79,86,77,79,69,78,82,82,55,83,77,79,76,7,13,12,10,9,6,0
204485,R. Mahrez,27,Algeria,85,85,Manchester City,40.5,$205 ,Left,3,4,5,Medium/ Medium,RW,26,10-Jul-18,2023,70,148,81,80,48,82,72,91,84,78,76,90,88,83,93,77,88,79,61,76,54,81,48,39,80,81,73,86,45,31,18,15,9,13,11,6,5,10
197445,D. Alaba,26,Austria,85,87,FC Bayern München,38,$110 ,Left,4,4,3,High/ Medium,LB,8,10-Feb-10,2021,71,168,81,63,75,82,68,79,78,84,80,83,79,86,79,84,77,83,82,87,71,82,69,84,76,77,80,79,80,82,80,5,7,14,15,9,5,11
193747,Koke,26,Spain,85,86,Atlético Madrid,45,$88 ,Right,3,4,3,High/ High,LM,8,1-Jan-11,2019,69,163,86,72,61,90,56,82,85,76,89,86,71,68,74,85,78,84,61,90,79,81,71,66,84,87,59,78,80,69,51,14,12,5,10,13,5,9
193301,A. Lacazette,27,France,85,86,Arsenal,45,$180 ,Right,3,4,4,High/ High,ST,9,5-Jul-17,2022,69,161,64,88,73,80,81,85,74,71,59,83,81,84,85,85,85,83,76,79,73,75,70,42,86,76,84,85,29,42,30,11,6,9,5,6,5,9
192774,K. Manolas,27,Greece,85,87,Roma,37.5,$96 ,Right,3,2,2,Low/ High,LCB,4,26-Aug-14,2022,74,183,27,10,80,60,16,54,30,10,61,65,80,85,68,85,59,40,86,76,82,12,86,86,25,22,26,79,86,87,89,8,6,8,15,12,6,2
192366,N. Otamendi,30,Argentina,85,85,Manchester City,28.5,$170 ,Right,3,3,2,High/ High,CB,30,20-Aug-15,2022,72,179,52,54,85,75,57,51,50,39,72,70,57,61,64,79,62,69,92,67,80,56,91,84,51,53,45,80,83,85,84,12,5,8,11,12,6,0
189513,Parejo,29,Spain,85,85,Valencia CF,37,$66 ,Right,2,4,3,Medium/ Low,RCM,10,1-Jul-11,2020,72,163,84,79,61,90,72,78,89,90,87,84,51,43,66,78,72,78,51,78,72,82,58,81,81,86,83,78,69,68,60,5,9,12,14,8,6,0
187961,Paulinho,29,Brazil,85,85,Guangzhou Evergrande Taobao FC,37,$235 ,Right,3,3,3,High/ High,LDM,9,,30-Jun-19,72,157,64,81,85,84,75,82,66,72,80,84,73,73,69,84,66,83,90,92,81,80,81,81,84,78,71,80,75,81,73,16,16,11,6,8,6,0
